bigram_text,hyperpartisan_freq,non_hyperpartisan_freq,bigram,freq,p_hyperpartisan,p_non_hyperpartisan,o_hyperpartisan,o_non_hyperpartisan,r
"('racism', 'anti')",2108,20,"('racism', 'anti')",2128,0.028106666666666665,0.0002666666666666667,0.028919497338528232,0.00026673779674579886,4.6860051537912195
"('https', 'twitter')",5291,65,"('https', 'twitter')",5356,0.07054666666666666,0.0008666666666666666,0.07590124661091106,0.000867418429305398,4.471666909854208
"('jpg', 'resize')",1886,23,"('jpg', 'resize')",1909,0.025146666666666668,0.0003066666666666667,0.025795333315096973,0.00030676073996025447,4.431880780215795
"('gt', 'gt')",6881,111,"('gt', 'gt')",6992,0.09174666666666667,0.00148,0.1010144012683686,0.0014821936465969636,4.221739909434435
"('data', 'recalc')",2451,61,"('data', 'recalc')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('recalc', 'dims')",2451,61,"('recalc', 'dims')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('dims', 'gt')",2451,61,"('dims', 'gt')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('repeat', 'offenders')",2114,53,"('repeat', 'offenders')",2167,0.028186666666666665,0.0007066666666666666,0.029004198337129215,0.0007071663975876286,3.7139298732650476
"('state', 'shall')",1035,27,"('state', 'shall')",1062,0.0138,0.00036,0.01399310484688704,0.0003601296466728022,3.6598558800716954
"('com', 'gt')",2174,58,"('com', 'gt')",2232,0.028986666666666668,0.0007733333333333333,0.029851975942657843,0.0007739318406234154,3.652522503861785
"('re', 'ready')",8363,252,"('re', 'ready')",8615,0.11150666666666667,0.00336,0.1255008478773054,0.0033713276609407612,3.6170058830920677
"('legislature', 'may')",723,21,"('legislature', 'may')",744,0.00964,0.00028,0.009733834161315076,0.00028007842195814823,3.5482935108175666
"('lt', 'img')",2514,103,"('lt', 'img')",2617,0.03352,0.0013733333333333334,0.03468255939077891,0.001375221971507537,3.2276217974715506
"('giving', 'interviews')",542,22,"('giving', 'interviews')",564,0.007226666666666667,0.0002933333333333333,0.007279271535630826,0.0002934194030248873,3.211183077228929
"('baby', 'mama')",563,23,"('baby', 'mama')",586,0.007506666666666667,0.0003066666666666667,0.0075634429114553245,0.00030676073996025447,3.2050136819998873
"('realclearpolitics', 'com')",639,27,"('realclearpolitics', 'com')",666,0.00852,0.00036,0.008593214184854963,0.0003601296466728022,3.17226402624077
"('width', 'height')",2502,121,"('width', 'height')",2623,0.03336,0.0016133333333333334,0.034511296863361754,0.0016159403838192285,3.0613696475361962
"('white', 'privilege')",1136,54,"('white', 'privilege')",1190,0.015146666666666666,0.00072,0.015379616592656773,0.0007205187735169323,3.0608268424583223
"('foxnews', 'com')",1438,69,"('foxnews', 'com')",1507,0.019173333333333334,0.00092,0.019548136266006908,0.0009208471794050527,3.0553411357042815
"('stream', 'media')",502,24,"('stream', 'media')",526,0.006693333333333333,0.00032,0.006738435931165937,0.00032010243277848916,3.046942072281589
"('twitter', 'com')",6897,366,"('twitter', 'com')",7263,0.09196,0.00488,0.1012730716708515,0.004903931184178792,3.0277833824372036
"('sarah', 'kliff')",451,22,"('sarah', 'kliff')",473,0.006013333333333333,0.0002933333333333333,0.006049712269782291,0.0002934194030248873,3.0261629960121517
"('illegal', 'alien')",789,39,"('illegal', 'alien')",828,0.01052,0.00052,0.010631847030763633,0.0005202705406811541,3.017260265841525
"('season', 'one')",439,23,"('season', 'one')",462,0.005853333333333334,0.0003066666666666667,0.005887796569252022,0.00030676073996025447,2.9545690146792647
"('without', 'warning')",2167,118,"('without', 'warning')",2285,0.028893333333333333,0.0015733333333333333,0.02975299658122005,0.0015758126118426323,2.9381587690870274
"('person', 'shall')",785,42,"('person', 'shall')",827,0.010466666666666668,0.00056,0.0105773765411305,0.0005603137757144,2.937975770100059
"('src', 'https')",2486,136,"('src', 'https')",2622,0.033146666666666665,0.0018133333333333332,0.0342830350001379,0.001816627484505236,2.937668873791631
"('season', 'two')",637,36,"('season', 'two')",673,0.008493333333333334,0.00048,0.008566087973857968,0.0004802305106451097,2.8813002091049382
"('shall', 'take')",353,20,"('shall', 'take')",373,0.004706666666666666,0.0002666666666666667,0.004728924136268034,0.00026673779674579886,2.8751868590512752
"('c', 'johnson')",504,29,"('c', 'johnson')",533,0.00672,0.00038666666666666667,0.0067654639175257734,0.00038681623561110295,2.861636377510789
"('panther', 'party')",342,20,"('panther', 'party')",362,0.00456,0.0002666666666666667,0.004580888853170457,0.00026673779674579886,2.843382189794831
"('media', 'matters')",2464,160,"('media', 'matters')",2624,0.03285333333333333,0.0021333333333333334,0.033969339362523436,0.0021378941742383755,2.765637020481717
"('shall', 'continue')",362,24,"('shall', 'continue')",386,0.004826666666666667,0.00032,0.004850076368605804,0.00032010243277848916,2.718108682907152
"('first', 'monday')",330,22,"('first', 'monday')",352,0.0044,0.0002933333333333333,0.0044194455604660505,0.0002934194030248873,2.71216653322694
"('news', 'team')",738,50,"('news', 'team')",788,0.00984,0.0006666666666666666,0.009937787832269531,0.0006671114076050701,2.7011426629349926
"('obamacare', 'repeal')",964,68,"('obamacare', 'repeal')",1032,0.012853333333333333,0.0009066666666666666,0.013020692636014911,0.0009074894571077777,2.663613163638781
"('wonder', 'woman')",385,27,"('wonder', 'woman')",412,0.0051333333333333335,0.00036,0.00515982041144542,0.0003601296466728022,2.6621929576207783
"('darren', 'wilson')",1030,73,"('darren', 'wilson')",1103,0.013733333333333334,0.0009733333333333333,0.013924564012437475,0.0009742816341238806,2.6597093406820065
"('shall', 'appoint')",311,22,"('shall', 'appoint')",333,0.0041466666666666666,0.0002933333333333333,0.004163933109293202,0.0002934194030248873,2.6526123703870943
"('rape', 'culture')",336,24,"('rape', 'culture')",360,0.00448,0.00032,0.004500160720025715,0.00032010243277848916,2.643227343677198
"('hate', 'group')",543,39,"('hate', 'group')",582,0.00724,0.00052,0.007292799871066522,0.0005202705406811541,2.640293874549447
"('news', 'hour')",715,52,"('news', 'hour')",767,0.009533333333333333,0.0006933333333333333,0.009625092548966816,0.000693814377968725,2.62992431675953
"('pj', 'media')",272,20,"('pj', 'media')",292,0.0036266666666666665,0.0002666666666666667,0.003639867251900225,0.00026673779674579886,2.6134363494792248
"('afp', 'getty')",366,27,"('afp', 'getty')",393,0.00488,0.00036,0.004903931184178792,0.0003601296466728022,2.611328348661909
"('independent', 'journalism')",525,39,"('independent', 'journalism')",564,0.007,0.00052,0.007049345417925478,0.0005202705406811541,2.6063410961520543
"('false', 'flag')",1151,89,"('false', 'flag')",1240,0.015346666666666666,0.0011866666666666666,0.015585857628403905,0.0011880765174673946,2.574028313288688
"('overdose', 'deaths')",404,31,"('overdose', 'deaths')",435,0.005386666666666666,0.0004133333333333333,0.005415839991420451,0.0004135042484226814,2.572415481764013
"('corporate', 'state')",270,21,"('corporate', 'state')",291,0.0036,0.00028,0.0036130068245684463,0.00028007842195814823,2.5572259776617448
"('officer', 'darren')",390,31,"('officer', 'darren')",421,0.0052,0.0004133333333333333,0.005227181342983514,0.0004135042484226814,2.5369596829123315
"('main', 'stream')",355,29,"('main', 'stream')",384,0.004733333333333333,0.00038666666666666667,0.004755844329827852,0.00038681623561110295,2.5091797890782006
"('texas', 'tribune')",106,33702,"('texas', 'tribune')",33808,0.0014133333333333333,0.44936,0.0014153336715891794,0.8160685747493824,-6.357133075509512
"('international', 'institutions')",76,22356,"('international', 'institutions')",22432,0.0010133333333333333,0.29808,0.0010143612193689606,0.42466377934807387,-6.037038674564826
"('saharan', 'africa')",145,19807,"('saharan', 'africa')",19952,0.0019333333333333333,0.26409333333333335,0.0019370783514795272,0.3588679723878028,-5.221773722390913
"('sub', 'saharan')",190,20179,"('sub', 'saharan')",20369,0.002533333333333333,0.2690533333333333,0.0025397674107739605,0.3680888710530636,-4.976251900163752
"('trade', 'surplus')",20,2354,"('trade', 'surplus')",2374,0.0002666666666666667,0.03138666666666667,0.00026673779674579886,0.032403711147207005,-4.7997620955731355
"('emerging', 'markets')",46,4634,"('emerging', 'markets')",4680,0.0006133333333333334,0.06178666666666666,0.0006137097419750781,0.06585566893101781,-4.675698708581939
"('emerging', 'market')",24,2413,"('emerging', 'market')",2437,0.00032,0.03217333333333333,0.00032010243277848916,0.03324286718007357,-4.64295445516636
"('become', 'one')",369,24778,"('become', 'one')",25147,0.00492,0.33037333333333335,0.004944326084334928,0.4933694396877863,-4.603017590418443
"('complete', 'list')",56,5136,"('complete', 'list')",5192,0.0007466666666666666,0.06848,0.0007472245943637916,0.07351425626932326,-4.588868827498469
"('domestic', 'demand')",20,1782,"('domestic', 'demand')",1802,0.0002666666666666667,0.02376,0.00026673779674579886,0.024338277472752603,-4.513539453406772
"('emerging', 'economies')",50,4050,"('emerging', 'economies')",4100,0.0006666666666666666,0.054,0.0006671114076050701,0.05708245243128964,-4.449294975614993
"('international', 'organizations')",115,7668,"('international', 'organizations')",7783,0.0015333333333333334,0.10224,0.0015356880550176939,0.11388344323649972,-4.306196972689809
"('members', 'may')",48,3242,"('members', 'may')",3290,0.00064,0.04322666666666666,0.0006404098623118797,0.045179631539340556,-4.256293253354516
"('boko', 'haram')",300,16140,"('boko', 'haram')",16440,0.004,0.2152,0.004016064257028113,0.2742099898063201,-4.223591816501184
"('exchange', 'rate')",111,6355,"('exchange', 'rate')",6466,0.00148,0.08473333333333333,0.0014821936465969636,0.09257775511690582,-4.134525703216164
"('austin', 'american')",26,1534,"('austin', 'american')",1560,0.00034666666666666667,0.020453333333333334,0.0003467868861205218,0.020880407263223804,-4.097856116513269
"('express', 'news')",21,1242,"('express', 'news')",1263,0.00028,0.01656,0.00028007842195814823,0.01683885137883348,-4.096374435185734
"('inter', 'korean')",22,1281,"('inter', 'korean')",1303,0.0002933333333333333,0.01708,0.0002934194030248873,0.017376795670044357,-4.081288017841074
"('dan', 'patrick')",31,1707,"('dan', 'patrick')",1738,0.0004133333333333333,0.02276,0.0004135042484226814,0.023290082272522612,-4.031115106687733
"('foreign', 'direct')",26,1435,"('foreign', 'direct')",1461,0.00034666666666666667,0.019133333333333332,0.0003467868861205218,0.019506558825528444,-4.029795607789193
"('texas', 'house')",34,1790,"('texas', 'house')",1824,0.0004533333333333333,0.023866666666666668,0.0004535389376517354,0.024450211719710423,-3.987313027976444
"('southeast', 'asian')",50,2482,"('southeast', 'asian')",2532,0.0006666666666666666,0.033093333333333336,0.0006671114076050701,0.034225985272621974,-3.9377833779776665
"('oil', 'imports')",31,1555,"('oil', 'imports')",1586,0.0004133333333333333,0.020733333333333333,0.0004135042484226814,0.021172305807066513,-3.935781488102019
"('global', 'governance')",68,3299,"('global', 'governance')",3367,0.0009066666666666666,0.04398666666666667,0.0009074894571077777,0.04601051589238644,-3.9259433071415764
"('cross', 'posted')",82,3812,"('cross', 'posted')",3894,0.0010933333333333333,0.050826666666666666,0.0010945300194879735,0.05354835084564814,-3.8902599347001825
"('antonio', 'express')",26,1199,"('antonio', 'express')",1225,0.00034666666666666667,0.015986666666666666,0.0003467868861205218,0.016246392325307245,-3.84691572212277
"('asian', 'nations')",31,1422,"('asian', 'nations')",1453,0.0004133333333333333,0.01896,0.0004135042484226814,0.019326429095653592,-3.844561032627305
"('direct', 'investment')",42,1881,"('direct', 'investment')",1923,0.00056,0.02508,0.0005603137757144,0.025725187707709353,-3.8267289167918306
"('northeast', 'asia')",26,1142,"('northeast', 'asia')",1168,0.00034666666666666667,0.015226666666666666,0.0003467868861205218,0.015462102954317745,-3.7974369081597033
"('fact', 'checker')",128,5299,"('fact', 'checker')",5427,0.0017066666666666667,0.07065333333333333,0.0017095843573031305,0.07602473422189064,-3.794808462562247
"('american', 'statesman')",36,1556,"('american', 'statesman')",1592,0.00048,0.020746666666666667,0.0004802305106451097,0.02118620990142149,-3.786839553521719
"('sovereign', 'wealth')",33,1420,"('sovereign', 'wealth')",1453,0.00044,0.018933333333333333,0.00044019368522149745,0.019298722478934494,-3.7805793561601044
"('gov', 'dan')",24,1029,"('gov', 'dan')",1053,0.00032,0.01372,0.00032010243277848916,0.0139108569574563,-3.771783843308907
"('net', 'exports')",26,1090,"('net', 'exports')",1116,0.00034666666666666667,0.014533333333333334,0.0003467868861205218,0.014747666080368016,-3.7501296871717757
"('northern', 'nigeria')",28,1139,"('northern', 'nigeria')",1167,0.0003733333333333333,0.015186666666666666,0.0003734727631649149,0.015420858098319817,-3.7206312153078724
"('exchange', 'rates')",55,2167,"('exchange', 'rates')",2222,0.0007333333333333333,0.028893333333333333,0.0007338715057708987,0.02975299658122005,-3.7023511782884237
"('global', 'growth')",25,964,"('global', 'growth')",989,0.0003333333333333333,0.012853333333333333,0.00033344448149383126,0.013020692636014911,-3.6648187329829476
"('us', 'exports')",44,1671,"('us', 'exports')",1715,0.0005866666666666667,0.02228,0.0005870110464806019,0.022787710182874444,-3.6589330043613275
"('gavin', 'newsom')",24,867,"('gavin', 'newsom')",891,0.00032,0.01156,0.00032010243277848916,0.011695196471207156,-3.5982924314626503
"('global', 'reserve')",26,938,"('global', 'reserve')",964,0.00034666666666666667,0.012506666666666666,0.0003467868861205218,0.012665064405498095,-3.597892217499797
"('economic', 'crises')",51,1812,"('economic', 'crises')",1863,0.00068,0.02416,0.0006804627146459593,0.024758157074930315,-3.5941372630077253
"('bilateral', 'relationship')",26,926,"('bilateral', 'relationship')",952,0.00034666666666666667,0.012346666666666667,0.0003467868861205218,0.012501012501012501,-3.5848544898543078
"('research', 'associate')",64,2172,"('research', 'associate')",2236,0.0008533333333333333,0.02896,0.0008540621330201773,0.029823694183555776,-3.553054516959265
"('chinese', 'foreign')",25,862,"('chinese', 'foreign')",887,0.0003333333333333333,0.011493333333333333,0.00033344448149383126,0.011626965928403787,-3.5516059490632053
"('zanu', 'pf')",24,818,"('zanu', 'pf')",842,0.00032,0.010906666666666667,0.00032010243277848916,0.0110269337575153,-3.5394550354370615
"('displaced', 'persons')",43,1453,"('displaced', 'persons')",1496,0.0005733333333333334,0.019373333333333333,0.0005736622330135945,0.019756074347016192,-3.5391755060249226
"('day', 'fund')",26,851,"('day', 'fund')",877,0.00034666666666666667,0.011346666666666666,0.0003467868861205218,0.011476891124627438,-3.499380395002423
"('china', 'relations')",20,642,"('china', 'relations')",662,0.0002666666666666667,0.00856,0.00026673779674579886,0.008633906237392077,-3.4771861751329443
"('development', 'goals')",37,1173,"('development', 'goals')",1210,0.0004933333333333334,0.01564,0.0004935768312367435,0.015888496078670405,-3.47167207612647
"('china', 'may')",24,764,"('china', 'may')",788,0.00032,0.010186666666666667,0.00032010243277848916,0.010291502774933995,-3.4704328134279017
